文件名,ID,名称,严重程度
VEID-2024-0101.poc,VEID-2024-0101,金蝶EAS_pdfviewlocal任意文件读取漏洞,medium
VEID-2024-0102.poc,VEID-2024-0102,全程云OA__ajax.ashxSQL注入漏洞,high
VEID-2024-0103.poc,VEID-2024-0103,用友NC_CLOUD_smartweb2.RPC.d_XML外部实体注入,high
VEID-2024-0105.poc,VEID-2024-0105,用友移动管理平台uploadIcon任意文件上传漏洞,critical
VEID-2024-0106.poc,VEID-2024-0106,金和OA_HomeService.asmxSQL注入,high
VEID-2024-0107.poc,VEID-2024-0107,金和OA_SAP_B1Config.aspx未授权访问漏洞,critical
VEID-2024-0108.poc,VEID-2024-0108,金和OA_jc6_ntko-upload任意文件上传漏洞,critical
VEID-2024-0109.poc,VEID-2024-0109,Yearning_front任意文件读取,critical
VEID-2024-0201.poc,VEID-2024-0201,用友移动系统管理getFileLocal接口存在任意文件读取,high
VEID-2024-0202.poc,VEID-2024-0202,SpringBlade export-user SQL 注入漏洞,high
VEID-2024-0203.poc,VEID-2024-0203,万户OA text2Html接口存在任意文件读取漏洞,medium
VEID-2024-0204.poc,VEID-2024-0204,用友系统-U9企业版存在任意文件上传漏洞,critical
VEID-2024-0205.poc,VEID-2024-0205,远秋医学培训系统未授权查看密码,medium
VEID-2024-0206.poc,VEID-2024-0206,联软安全数据交换系统任意文件读取,high
VEID-2024-0207.poc,VEID-2024-0207,亿赛通电子文档安全管理系统 UploadFileToCatalog SQL注入漏洞,high
VEID-2024-0208.poc,VEID-2024-0208,亿赛通电子文档安全管理系统UploadFileList任意文件读取漏洞,high
VEID-2024-0209.poc,VEID-2024-0209,大华智慧园区综合管理平台bitmap接口存在任意文件上传漏洞,critical
VEID-2024-0210.poc,VEID-2024-0210,飞企互联-FE企业运营管理平台publicData.jsp存在SQL注入漏洞,high
VEID-2024-0301.poc,VEID-2024-0301,LinkWeChat任意文件读取漏洞,high
VEID-2024-0302.poc,VEID-2024-0302,亿赛通电子文档安全管理系统接口dataSearch.jsp存在SQL注入,high
VEID-2024-0303.poc,VEID-2024-0303,鸿运(通天星CMSV6车载)主动安全监控云平台存在任意文件读取漏洞,high
VEID-2024-0304.poc,VEID-2024-0304,蓝凌OA-WechatLoginHelper.do存在SQL注入漏洞,critical
VEID-2024-0305.poc,VEID-2024-0305,西软云XMS-futurehotel-query接口存在XXE漏洞,critical
VEID-2024-0306.poc,VEID-2024-0306,西软云XMS-futurehotel-operate接口存在XXE漏洞,critical
VEID-2024-0307.poc,VEID-2024-0307,宏景eHR-HCM-DisplayExcelCustomReport接口存在任意文件读取漏洞,high
VEID-2024-0308.poc,VEID-2024-0308,H3C-校园网自助服务系统flexfileupload任意文件上传漏洞,critical
VEID-2024-0309.poc,VEID-2024-0309,H3C-SecParh堡垒机任意用户登录漏洞-导致RCE,critical
VEID-2024-0310.poc,VEID-2024-03010,JEEWMS仓库管理系统任意文件读取漏洞,high
VEID-2024-0401.poc,VEID-2024-0401,帮管客CRM-jiliyu接口存在SQL漏洞,high
VEID-2024-0402.poc,VEID-2024-0402,亿赛通-数据泄露防护(DLP)ClientAjax接口存在任意文件读取漏洞,high
VEID-2024-0403.poc,VEID-2024-0403,亿赛通电子文档安全管理系统DecryptApplication存在任意文件读取漏洞,high
VEID-2024-0404.poc,VEID-2024-0404,大华智慧园区综合管理平台pageJson存在SQL注入漏洞,high
VEID-2024-0405.poc,VEID-2024-0405,金蝶云-星空ServiceGateway反序列化漏洞,critical
VEID-2024-0406.poc,VEID-2024-0406,中成科信票务管理平台任意文件上传漏洞,critical
VEID-2024-0407.poc,VEID-2024-0407,WordPress_Wholesale_Market插件存在任意文件读取漏洞,high
VEID-2024-0408.poc,VEID-2024-0408,正方教学管理信息服务平台ReportServer存在任意文件读取漏洞,high
VEID-2024-0409.poc,VEID-2024-0409,用友时空KSOA-imagefield接口存在SQL注入漏洞,high
VEID-2024-0410.poc,VEID-2024-0410,大华DSS城市安防监控平台Struct2-045命令执行漏洞,critical
VEID-2024-0501.poc,VEID-2024-0501,omfyUI follow_symlinks文件读取漏洞,high
VEID-2024-0502.poc,VEID-2024-0502,网络验证系统getInfo参数存在SQL注入漏洞,high
VEID-2024-0503.poc,VEID-2024-0503,通天星-CMSV6-inspect_file-upload存在任意文件上传漏洞,critical
VEID-2024-0504.poc,VEID-2024-0504,用友U8-nc.bs.sm.login2.RegisterServlet存在SQL注入漏洞,high
VEID-2024-0505.poc,VEID-2024-0505,泛微E-Office10版本小于v10.0_20240222存在远程代码执行漏洞,critical
VEID-2024-0506.poc,VEID-2024-0506,用友NC接口saveXmlToFIleServlet存在文件上传,critical
